"Date";"Value"
"05/30/1975";0,5411
"06/02/1975";0,54
"06/03/1975";0,547
"06/04/1975";0,558
"06/05/1975";0,561
"06/06/1975";0,5725
"06/09/1975";0,5903
"06/10/1975";0,5845
"06/11/1975";0,5915
"06/12/1975";0,585
"06/13/1975";0,5945
"06/16/1975";0,5958
"06/17/1975";0,5758
"06/18/1975";0,5645
"06/19/1975";0,5575
"06/20/1975";0,5545
"06/23/1975";0,5345
"06/24/1975";0,5208
"06/25/1975";0,5376
"06/26/1975";0,5331
"06/27/1975";0,5436
"06/30/1975";0,548
"07/01/1975";0,5443
"07/02/1975";0,536
"07/03/1975";0,5305
"07/07/1975";0,5413
"07/08/1975";0,5495
"07/09/1975";0,5438
"07/10/1975";0,5405
"07/11/1975";0,5472
"07/14/1975";0,5465
"07/15/1975";0,5448
"07/16/1975";0,55
"07/17/1975";0,57
"07/18/1975";0,59
"07/21/1975";0,61
"07/22/1975";0,65
"07/23/1975";0,69
"07/24/1975";0,73
"07/25/1975";0,77
"07/28/1975";0,81
"07/29/1975";0,8223
"07/30/1975";0,8345
"07/31/1975";0,8405
"08/01/1975";0,849
"08/04/1975";0,879
"08/05/1975";0,854
"08/06/1975";0,85
"08/07/1975";0,8335
"08/08/1975";0,848
"08/11/1975";0,839
"08/12/1975";0,836
"08/13/1975";0,8375
"08/14/1975";0,8435
"08/15/1975";0,862
"08/18/1975";0,8665
"08/19/1975";0,8617
"08/20/1975";0,86
"08/21/1975";0,8437
"08/22/1975";0,8385
"08/25/1975";0,821
"08/26/1975";0,8337
"08/27/1975";0,8415
"08/28/1975";0,8434
"08/29/1975";0,8376
"09/02/1975";0,823
"09/03/1975";0,8015
"09/04/1975";0,816
"09/05/1975";0,8135
"09/08/1975";0,7945
"09/09/1975";0,797
"09/10/1975";0,784
"09/11/1975";0,785
"09/12/1975";0,8051
"09/15/1975";0,822
"09/16/1975";0,8247
"09/17/1975";0,8178
"09/18/1975";0,822
"09/19/1975";0,8335
"09/22/1975";0,829
"09/23/1975";0,8365
"09/24/1975";0,829
"09/25/1975";0,8248
"09/26/1975";0,8215
"09/29/1975";0,816
"09/30/1975";0,8093
"10/01/1975";0,809
"10/02/1975";0,811
"10/03/1975";0,819
"10/06/1975";0,8215
"10/07/1975";0,8115
"10/08/1975";0,8
"10/09/1975";0,81
"10/10/1975";0,8125
"10/14/1975";0,81
"10/15/1975";0,805
"10/16/1975";0,8137
"10/17/1975";0,8187
"10/20/1975";0,8122
"10/21/1975";0,8095
"10/22/1975";0,8035
"10/23/1975";0,8055
"10/24/1975";0,802
"10/27/1975";0,8075
"10/28/1975";0,808
"10/29/1975";0,8119
"10/30/1975";0,8083
"10/31/1975";0,801
"11/03/1975";0,791
"11/05/1975";0,7765
"11/06/1975";0,7737
"11/07/1975";0,773
"11/10/1975";0,7715
"11/12/1975";0,757
"11/13/1975";0,7582
"11/14/1975";0,767
"11/17/1975";0,7665
"11/18/1975";0,7753
"11/19/1975";0,7685
"11/20/1975";0,7825
"11/24/1975";0,7775
"11/25/1975";0,777
"11/26/1975";0,7802
"11/28/1975";0,8012
"12/01/1975";0,7935
"12/02/1975";0,7965
"12/03/1975";0,7968
"12/04/1975";0,7948
"12/05/1975";0,794
"12/08/1975";0,81
"12/09/1975";0,8088
"12/10/1975";0,8235
"12/11/1975";0,826
"12/12/1975";0,8345
"12/15/1975";0,8545
"12/16/1975";0,8605
"12/17/1975";0,8548
"12/18/1975";0,8715
"12/19/1975";0,8686
"12/22/1975";0,879
"12/23/1975";0,8775
"12/24/1975";0,875
"12/29/1975";0,871
"12/30/1975";0,871
"12/31/1975";0,8725
"01/05/1976";0,871
"01/06/1976";0,869
"01/07/1976";0,889
"01/08/1976";0,909
"01/09/1976";0,9165
"01/12/1976";0,9365
"01/13/1976";0,932
"01/14/1976";0,9447
"01/15/1976";0,941
"01/16/1976";0,945
"01/19/1976";0,965
"01/20/1976";0,967
"01/21/1976";0,9562
"01/22/1976";0,9505
"01/23/1976";0,935
"01/26/1976";0,9175
"01/27/1976";0,9375
"01/28/1976";0,9535
"01/29/1976";0,9465
"01/30/1976";0,95
"02/02/1976";0,9675
"02/03/1976";0,9605
"02/04/1976";0,9745
"02/05/1976";0,9895
"02/06/1976";1,0095
"02/09/1976";1,0295
"02/10/1976";1,0133
"02/11/1976";1,023
"02/13/1976";1,0335
"02/17/1976";1,0135
"02/18/1976";1,0105
"02/19/1976";1,0114
"02/20/1976";0,9914
"02/23/1976";0,9835
"02/24/1976";0,988
"02/25/1976";0,973
"02/26/1976";0,9551
"02/27/1976";0,9627
"03/01/1976";0,9515
"03/02/1976";0,9657
"03/03/1976";0,971
"03/04/1976";0,983
"03/05/1976";0,988
"03/08/1976";0,9815
"03/09/1976";0,9854
"03/10/1976";0,986
"03/11/1976";0,974
"03/12/1976";0,9793
"03/15/1976";0,9612
"03/16/1976";0,961
"03/17/1976";0,981
"03/18/1976";0,998
"03/19/1976";0,996
"03/22/1976";1,016
"03/23/1976";1,0245
"03/24/1976";1,039
"03/25/1976";1,0413
"03/26/1976";1,0392
"03/29/1976";1,0592
"03/30/1976";1,067
"03/31/1976";1,087
"04/01/1976";1,107
"04/02/1976";1,1235
"04/05/1976";1,1435
"04/06/1976";1,1635
"04/07/1976";1,1475
"04/08/1976";1,1675
"04/09/1976";1,1875
"04/12/1976";1,2075
"04/13/1976";1,198
"04/14/1976";1,218
"04/15/1976";1,2355
"04/19/1976";1,2555
"04/20/1976";1,2755
"04/21/1976";1,2555
"04/22/1976";1,2755
"04/23/1976";1,2835
"04/26/1976";1,339
"04/27/1976";1,3047
"04/28/1976";1,2753
"04/29/1976";1,2915
"04/30/1976";1,2593
"05/03/1976";1,225
"05/04/1976";1,2445
"05/05/1976";1,2745
"05/06/1976";1,3045
"05/07/1976";1,3345
"05/10/1976";1,3375
"05/11/1976";1,3515
"05/12/1976";1,3815
"05/13/1976";1,401
"05/14/1976";1,395
"05/17/1976";1,3845
"05/18/1976";1,3545
"05/19/1976";1,3455
"05/20/1976";1,3755
"05/21/1976";1,4025
"05/24/1976";1,3915
"05/25/1976";1,4213
"05/26/1976";1,413
"05/27/1976";1,383
"05/28/1976";1,4105
"06/01/1976";1,403
"06/02/1976";1,405
"06/03/1976";1,414
"06/04/1976";1,404
"06/07/1976";1,391
"06/08/1976";1,421
"06/09/1976";1,451
"06/10/1976";1,481
"06/11/1976";1,511
"06/14/1976";1,501
"06/15/1976";1,5075
"06/16/1976";1,5375
"06/17/1976";1,56
"06/18/1976";1,565
"06/21/1976";1,554
"06/22/1976";1,546
"06/23/1976";1,516
"06/24/1976";1,5
"06/25/1976";1,5374
"06/28/1976";1,5248
"06/29/1976";1,513
"06/30/1976";1,5276
"07/01/1976";1,529
"07/02/1976";1,5125
"07/06/1976";1,4825
"07/07/1976";1,4525
"07/08/1976";1,4415
"07/09/1976";1,4115
"07/12/1976";1,3815
"07/13/1976";1,3515
"07/14/1976";1,3235
"07/15/1976";1,2935
"07/16/1976";1,2635
"07/19/1976";1,2335
"07/20/1976";1,2635
"07/21/1976";1,279
"07/22/1976";1,2635
"07/23/1976";1,2935
"07/26/1976";1,3235
"07/27/1976";1,3405
"07/28/1976";1,3705
"07/29/1976";1,4005
"07/30/1976";1,4175
"08/02/1976";1,4475
"08/03/1976";1,441
"08/04/1976";1,464
"08/05/1976";1,4795
"08/06/1976";1,502
"08/09/1976";1,472
"08/10/1976";1,4765
"08/11/1976";1,486
"08/12/1976";1,516
"08/13/1976";1,546
"08/16/1976";1,576
"08/17/1976";1,606
"08/18/1976";1,605
"08/19/1976";1,61
"08/20/1976";1,5802
"08/23/1976";1,57
"08/24/1976";1,5965
"08/25/1976";1,675
"08/26/1976";1,6216
"08/27/1976";1,561
"08/30/1976";1,5194
"08/31/1976";1,5128
"09/01/1976";1,4998
"09/02/1976";1,5298
"09/03/1976";1,5385
"09/07/1976";1,5685
"09/08/1976";1,5785
"09/09/1976";1,557
"09/10/1976";1,587
"09/13/1976";1,5775
"09/14/1976";1,5555
"09/15/1976";1,5515
"09/16/1976";1,549
"09/17/1976";1,53
"09/20/1976";1,5
"09/21/1976";1,5125
"09/22/1976";1,532
"09/23/1976";1,562
"09/24/1976";1,616
"09/27/1976";1,67
"09/28/1976";1,6495
"09/29/1976";1,661
"09/30/1976";1,6625
"10/01/1976";1,69
"10/04/1976";1,6925
"10/05/1976";1,7175
"10/06/1976";1,695
"10/07/1976";1,735
"10/08/1976";1,745
"10/12/1976";1,77
"10/13/1976";1,767
"10/14/1976";1,707
"10/15/1976";1,75
"10/18/1976";1,7775
"10/19/1976";1,755
"10/20/1976";1,7305
"10/21/1976";1,7425
"10/22/1976";1,735
"10/25/1976";1,705
"10/26/1976";1,68
"10/27/1976";1,76
"10/28/1976";1,7825
"10/29/1976";1,785
"11/01/1976";1,775
"11/03/1976";1,77
"11/04/1976";1,7865
"11/05/1976";1,813
"11/08/1976";1,8275
"11/09/1976";1,83
"11/10/1976";1,835
"11/12/1976";1,855
"11/15/1976";1,84
"11/16/1976";1,835
"11/17/1976";1,79
"11/18/1976";1,7888
"11/19/1976";1,825
"11/22/1976";1,8563
"11/23/1976";1,8275
"11/24/1976";1,8188
"11/26/1976";1,8499
"11/29/1976";1,8849
"11/30/1976";1,8713
"12/01/1976";1,8926
"12/02/1976";1,9038
"12/03/1976";1,9338
"12/06/1976";1,96
"12/07/1976";1,93
"12/08/1976";1,96
"12/09/1976";1,9856
"12/10/1976";1,995
"12/13/1976";2,025
"12/14/1976";2,0545
"12/15/1976";2,0419
"12/16/1976";2,0719
"12/17/1976";2,1019
"12/20/1976";2,1295
"12/21/1976";2,1595
"12/22/1976";2,1895
"12/23/1976";2,1953
"12/27/1976";2,214
"12/28/1976";2,16
"12/29/1976";2,1798
"12/30/1976";2,2445
"01/03/1977";2,2856
"01/04/1977";2,2804
"01/05/1977";2,2268
"01/06/1977";2,2006
"01/07/1977";2,1144
"01/10/1977";1,9752
"01/11/1977";2,1445
"01/12/1977";2,2267
"01/13/1977";2,2142
"01/14/1977";2,2377
"01/17/1977";2,1925
"01/18/1977";2,1591
"01/19/1977";2,1232
"01/20/1977";2,199
"01/21/1977";2,1975
"01/24/1977";2,1488
"01/25/1977";2,1806
"01/26/1977";2,2185
"01/27/1977";2,225
"01/28/1977";2,2018
"01/31/1977";2,2293
"02/01/1977";2,2108
"02/02/1977";2,2375
"02/03/1977";2,251
"02/04/1977";2,2764
"02/07/1977";2,359
"02/08/1977";2,2969
"02/09/1977";2,3525
"02/10/1977";2,357
"02/11/1977";2,3728
"02/14/1977";2,41
"02/15/1977";2,4392
"02/16/1977";2,4147
"02/17/1977";2,4645
"02/18/1977";2,519
"02/22/1977";2,4959
"02/23/1977";2,5555
"02/24/1977";2,668
"02/25/1977";2,6969
"02/28/1977";2,7098
"03/01/1977";2,7149
"03/02/1977";2,7549
"03/03/1977";2,7949
"03/04/1977";2,8349
"03/07/1977";2,8749
"03/08/1977";2,9149
"03/09/1977";2,9505
"03/10/1977";2,9105
"03/11/1977";2,9001
"03/14/1977";2,9401
"03/15/1977";2,9801
"03/16/1977";3,0201
"03/17/1977";3,0601
"03/18/1977";3,1001
"03/21/1977";3,1401
"03/22/1977";3,1801
"03/23/1977";3,2026
"03/24/1977";3,1426
"03/25/1977";3,19
"03/28/1977";3,1019
"03/29/1977";3,1869
"03/30/1977";3,085
"03/31/1977";3,0875
"04/01/1977";3,1344
"04/04/1977";3,0748
"04/05/1977";3,1357
"04/06/1977";3,17
"04/07/1977";3,2275
"04/11/1977";3,2697
"04/12/1977";3,3363
"04/13/1977";3,2988
"04/14/1977";3,3563
"04/15/1977";3,345
"04/18/1977";3,2553
"04/19/1977";3,1855
"04/20/1977";3,13
"04/21/1977";3,09
"04/22/1977";3,1875
"04/25/1977";3,15
"04/26/1977";3,0629
"04/27/1977";3,0147
"04/28/1977";3,0798
"04/29/1977";3,0099
"05/02/1977";2,9599
"05/03/1977";2,8999
"05/04/1977";2,955
"05/05/1977";2,895
"05/06/1977";2,835
"05/09/1977";2,775
"05/10/1977";2,7163
"05/11/1977";2,7763
"05/12/1977";2,7599
"05/13/1977";2,7123
"05/16/1977";2,7723
"05/17/1977";2,8323
"05/18/1977";2,8923
"05/19/1977";2,9523
"05/20/1977";3,0123
"05/23/1977";3,0723
"05/24/1977";3,0335
"05/25/1977";2,88
"05/26/1977";2,9095
"05/27/1977";2,845
"05/31/1977";2,7312
"06/01/1977";2,665
"06/02/1977";2,635
"06/03/1977";2,63
"06/06/1977";2,7783
"06/07/1977";2,7666
"06/08/1977";2,76
"06/09/1977";2,7033
"06/10/1977";2,6264
"06/13/1977";2,54
"06/14/1977";2,503
"06/15/1977";2,3728
"06/16/1977";2,2443
"06/17/1977";2,55
"06/20/1977";2,6829
"06/21/1977";2,6896
"06/22/1977";2,91
"06/23/1977";2,8113
"06/24/1977";2,73
"06/27/1977";2,6718
"06/28/1977";2,5868
"06/29/1977";2,4675
"06/30/1977";2,4614
"07/01/1977";2,3339
"07/05/1977";2,3939
"07/06/1977";2,3975
"07/07/1977";2,3375
"07/08/1977";2,3927
"07/11/1977";2,3852
"07/12/1977";2,3295
"07/13/1977";2,3395
"07/15/1977";2,3833
"07/18/1977";2,3233
"07/19/1977";2,2633
"07/20/1977";2,2033
