semSeca,s0s4,s1s4,s2s4,s3s4,s4,mes,ano,uf
0,100,100,"55,96","28,9","4,27",11,2015,AL
0,100,"72,02","39,74","27,97","5,11",10,2015,AL
0,100,"43,88","34,85","22,78","3,44",9,2015,AL
0,100,"36,74","19,7","12,47","3,44",8,2015,AL
"23,07","76,93","37,59","20,16","0,38",0,7,2015,AL
"39,3","60,7","44,17","30,15","1,05","0,05",6,2015,AL
"12,79","87,21","57,14","32,03","1,59","0,07",5,2015,AL
"13,21","86,79","72,56","35,25","1,38",0,4,2015,AL
"52,71","47,29","18,14","7,47","1,75","0,64",3,2015,AL
"27,17","72,83","35,45","7,7",0,0,2,2015,AL
"0,01","99,99","35,66","2,09",0,0,1,2015,AL
"58,49","41,51","12,39","0,13",0,0,12,2014,AL
"66,12","33,88","11,75","0,07",0,0,11,2014,AL
"31,53","68,47","39,86","6,79",0,0,10,2014,AL
0,100,"47,5","8,06",0,0,9,2014,AL
0,100,"72,84","20,55","3,34",0,8,2014,AL
0,100,100,"99,6","3,29",0,7,2014,AL
100,0,0,0,0,0,6,2025,AP
100,0,0,0,0,0,5,2025,AP
"56,92","43,08",0,0,0,0,4,2025,AP
100,0,0,0,0,0,3,2025,AP
100,0,0,0,0,0,2,2025,AP
"69,49","30,51",0,0,0,0,1,2025,AP
"17,6","82,4","2,76",0,0,0,12,2024,AP
"17,6","82,4","2,76",0,0,0,11,2024,AP
"17,6","82,4","2,76",0,0,0,10,2024,AP
"7,65","92,35","2,88",0,0,0,9,2024,AP
"24,19","75,81","4,43",0,0,0,8,2024,AP
"27,7","72,3",0,0,0,0,7,2024,AP
"68,26","31,74",0,0,0,0,6,2024,AP
"68,26","31,74","0,36",0,0,0,5,2024,AP
"19,84","80,16",0,0,0,0,4,2024,AP
"57,96","42,04",0,0,0,0,3,2024,AP
"76,55","23,45",0,0,0,0,2,2024,AP
"76,55","23,45",0,0,0,0,1,2024,AP
"54,96","45,04",0,0,0,0,12,2023,AP
"60,1","39,9","9,92",0,0,0,6,2025,AM
"41,26","58,74","18,36",0,0,0,5,2025,AM
"47,92","52,08","32,14","3,85",0,0,4,2025,AM
"26,48","73,52","59,06","17,9",0,0,3,2025,AM
"5,6","94,4","71,03","30,95",0,0,2,2025,AM
"0,85","99,15","96,28","58,6","24,52","5,92",1,2025,AM
"0,85","99,15","98,03","67,03","33,02","5,92",12,2024,AM
"0,89","99,11","98,11","88,06","56,31","15,83",11,2024,AM
"0,89","99,11","98,58","85,42","60,17","26,4",10,2024,AM
0,100,"99,67","75,76","56,56","29,56",9,2024,AM
0,100,"93,16","60,43","31,73",0,8,2024,AM
"2,45","97,55","81,01","45,19","18,72",0,7,2024,AM
"4,9","95,1","75,5","42,14","5,22",0,6,2024,AM
"0,3","99,7","82,2","33,64","5,22",0,5,2024,AM
0,100,"85,71","36,3","5,22",0,4,2024,AM
0,100,"75,46","45,53","5,22",0,3,2024,AM
0,100,"76,09","46,06","5,22",0,2,2024,AM
0,100,"79,42","46,24","8,71",0,1,2024,AM
0,100,"79,42","49,76","15,45",0,12,2023,AM
0,100,"85,12","44,43","16,9",0,11,2023,AM
"3,96","96,04","80,3","40,77","7,98",0,10,2023,AM
"7,99","92,01","49,57","13,87",0,0,9,2023,AM
"24,67","75,33","18,73","2,07",0,0,8,2023,AM
"28,22","71,78","11,83","2,07",0,0,7,2023,AM
"39,18","60,82","5,9","1,91",0,0,6,2023,AM
"75,58","24,42","5,9","1,91",0,0,5,2023,AM
"58,57","41,43","7,38","3,17",0,0,4,2023,AM
"46,61","53,39","7,38","3,17",0,0,3,2023,AM
"44,29","55,71","18,44","3,17",0,0,2,2023,AM
"37,02","62,98","24,63","3,59",0,0,1,2023,AM
"33,89","66,11","27,59","2,3",0,0,12,2022,AM
"14,83","85,17","76,82","41,43",0,0,6,2025,BA
"15,34","84,66","72,95","52,7",0,0,5,2025,BA
"3,94","96,06","74,8","52,83",0,0,4,2025,BA
"4,14","95,86","74,81","17,51",0,0,3,2025,BA
"6,83","93,17","49,81","4,77",0,0,2,2025,BA
"6,8","93,2","29,36",0,0,0,1,2025,BA
"3,33","96,67","38,69","4,24",0,0,12,2024,BA
"8,61","91,39","25,72","4,24",0,0,11,2024,BA
"6,78","93,22","53,76","4,66",0,0,10,2024,BA
"9,11","90,89","50,62","18,01",0,0,9,2024,BA
"13,24","86,76","33,29",0,0,0,8,2024,BA
"29,39","70,61","25,96",0,0,0,7,2024,BA
"52,32","47,68","13,19",0,0,0,6,2024,BA
"57,15","42,85","13,19",0,0,0,5,2024,BA
"63,19","36,81","13,19",0,0,0,4,2024,BA
"33,4","66,6","26,7",0,0,0,3,2024,BA
"8,5","91,5","35,21",0,0,0,2,2024,BA
"1,33","98,67","90,11","20,61",0,0,1,2024,BA
0,100,"94,57","45,63","2,87",0,12,2023,BA
0,100,"89,05","28,67",0,0,11,2023,BA
0,100,"54,66",0,0,0,10,2023,BA
"2,02","97,98","41,84",0,0,0,9,2023,BA
"9,94","90,06","20,77",0,0,0,8,2023,BA
"11,2","88,8","26,73",0,0,0,7,2023,BA
"13,58","86,42","23,75",0,0,0,6,2023,BA
"29,41","70,59","12,51",0,0,0,5,2023,BA
"42,1","57,9",0,0,0,0,4,2023,BA
"64,89","35,11",0,0,0,0,3,2023,BA
"89,13","10,87",0,0,0,0,2,2023,BA
100,0,0,0,0,0,1,2023,BA
"99,12","0,88",0,0,0,0,12,2022,BA
"47,82","52,18","6,03",0,0,0,11,2022,BA
"26,13","73,87","20,05",0,0,0,10,2022,BA
"23,49","76,51","15,18",0,0,0,9,2022,BA
"23,48","76,52","11,83",0,0,0,8,2022,BA
"16,11","83,89",0,0,0,0,7,2022,BA
"15,56","84,44","1,18",0,0,0,6,2022,BA
