mapas,semSeca,s0s4,s1s4,s2s4,s3s4,s4,estado
Outubro de 2014,"31,53","68,47","39,86","6,79",0,0,Alagoas
Setembro de 2014,0,100,"47,5","8,06",0,0,Alagoas
Agosto de 2014,0,100,"72,84","20,55","3,34",0,Alagoas
Julho de 2014,0,100,100,"99,6","3,29",0,Alagoas
Junho de 2025,100,0,0,0,0,0,Amapá
Maio de 2025,100,0,0,0,0,0,Amapá
Abril de 2025,"56,92","43,08",0,0,0,0,Amapá
Março de 2025,100,0,0,0,0,0,Amapá
Fevereiro de 2025,100,0,0,0,0,0,Amapá
Janeiro de 2025,"69,49","30,51",0,0,0,0,Amapá
Dezembro de 2024,"17,6","82,4","2,76",0,0,0,Amapá
Novembro de 2024,"17,6","82,4","2,76",0,0,0,Amapá
Outubro de 2024,"17,6","82,4","2,76",0,0,0,Amapá
Setembro de 2024,"7,65","92,35","2,88",0,0,0,Amapá
Agosto de 2024,"24,19","75,81","4,43",0,0,0,Amapá
Julho de 2024,"27,7","72,3",0,0,0,0,Amapá
Junho de 2024,"68,26","31,74",0,0,0,0,Amapá
Maio de 2024,"68,26","31,74","0,36",0,0,0,Amapá
Abril de 2024,"19,84","80,16",0,0,0,0,Amapá
Março de 2024,"57,96","42,04",0,0,0,0,Amapá
Fevereiro de 2024,"76,55","23,45",0,0,0,0,Amapá
Janeiro de 2024,"76,55","23,45",0,0,0,0,Amapá
Dezembro de 2023,"54,96","45,04",0,0,0,0,Amapá
Junho de 2025,"60,1","39,9","9,92",0,0,0,Amazonas
Maio de 2025,"41,26","58,74","18,36",0,0,0,Amazonas
Abril de 2025,"47,92","52,08","32,14","3,85",0,0,Amazonas
Março de 2025,"26,48","73,52","59,06","17,9",0,0,Amazonas
Fevereiro de 2025,"5,6","94,4","71,03","30,95",0,0,Amazonas
Janeiro de 2025,"0,85","99,15","96,28","58,6","24,52","5,92",Amazonas
Dezembro de 2024,"0,85","99,15","98,03","67,03","33,02","5,92",Amazonas
Novembro de 2024,"0,89","99,11","98,11","88,06","56,31","15,83",Amazonas
Outubro de 2024,"0,89","99,11","98,58","85,42","60,17","26,4",Amazonas
Setembro de 2024,0,100,"99,67","75,76","56,56","29,56",Amazonas
Agosto de 2024,0,100,"93,16","60,43","31,73",0,Amazonas
Julho de 2024,"2,45","97,55","81,01","45,19","18,72",0,Amazonas
Junho de 2024,"4,9","95,1","75,5","42,14","5,22",0,Amazonas
Maio de 2024,"0,3","99,7","82,2","33,64","5,22",0,Amazonas
Abril de 2024,0,100,"85,71","36,3","5,22",0,Amazonas
Março de 2024,0,100,"75,46","45,53","5,22",0,Amazonas
Fevereiro de 2024,0,100,"76,09","46,06","5,22",0,Amazonas
Janeiro de 2024,0,100,"79,42","46,24","8,71",0,Amazonas
