mapas,semSeca,s0s4,s1s4,s2s4,s3s4,s4,estado
Setembro de 2019,"29,62","70,38","64,43",0,0,0,Ceará
Agosto de 2019,"33,19","66,81","43,16",0,0,0,Ceará
Julho de 2019,"38,39","61,61","25,4",0,0,0,Ceará
Junho de 2019,"41,21","58,79","21,94",0,0,0,Ceará
Maio de 2019,"50,63","49,37","16,89",0,0,0,Ceará
Abril de 2019,66,34,"20,43",0,0,0,Ceará
Março de 2019,"65,36","34,64","20,53","8,55",0,0,Ceará
Fevereiro de 2019,"59,71","40,29","25,25","15,03","0,62",0,Ceará
Janeiro de 2019,"42,03","57,97","40,14","25,09","0,62",0,Ceará
Dezembro de 2018,"7,55","92,45","58,59","49,28","0,62",0,Ceará
Novembro de 2018,0,100,91,"49,28","20,68",0,Ceará
Outubro de 2018,0,100,"85,49","38,41","23,19",0,Ceará
Setembro de 2018 ,0,100,"75,99","38,45","19,36",0,Ceará
Agosto de 2018,"8,3","91,7","52,66","25,56","8,17",0,Ceará
Julho de 2018,"8,3","91,7","48,49","25,08",0,0,Ceará
Junho de 2018,"36,75","63,25","41,02","7,56",0,0,Ceará
Maio de 2018,"36,76","63,24","40,06","2,82",0,0,Ceará
Abril de 2018,"36,82","63,18","54,63","8,31",0,0,Ceará
Março de 2018,"25,47","74,53","63,25","48,28","6,99",0,Ceará
Fevereiro de 2018,"16,53","83,47","70,71","60,25","8,08",0,Ceará
Janeiro de 2018,0,100,"82,45","73,1","53,43","30,41",Ceará
Dezembro de 2017,0,100,"94,51","76,38","56,65","32,23",Ceará
Novembro de 2017,0,100,"94,51","72,16","43,91","26,52",Ceará
Outubro de 2017,0,100,"69,55","55,33","37,29","24,61",Ceará
Setembro de 2017,"0,02","99,98","67,21","51,73","33,66","10,61",Ceará
Agosto de 2017,"19,88","80,12","52,9","41,85","19,61","0,52",Ceará
Julho de 2017,"36,25","63,75","50,05","36,72","10,31","0,01",Ceará
Junho de 2017,"36,25","63,75","50,05","36,72","10,31","0,01",Ceará
Maio de 2017,"41,88","58,12","45,5","35,49","4,65",0,Ceará
Abril de 2017,"18,52","81,48","42,52","33,45","0,63","0,04",Ceará
Março de 2017,0,100,"55,97","37,35","1,55",0,Ceará
Fevereiro de 2017,0,100,100,"83,82","53,21","6,55",Ceará
Janeiro de 2017,0,100,100,100,"88,78","63,64",Ceará
Dezembro de 2016,0,100,100,100,91,"58,02",Ceará
Novembro de 2016,0,100,100,100,"87,75","58,02",Ceará
Outubro de 2016,0,100,100,100,"79,52","55,49",Ceará
Setembro de 2016,0,100,100,"95,1","73,26","34,38",Ceará
Agosto de 2016,0,100,100,"83,78","58,51","14,06",Ceará
Julho de 2016,0,100,100,"80,47","37,18","7,5",Ceará
Junho de 2016,0,100,"99,45","78,92","26,97",0,Ceará
Maio de 2016,"0,51","99,49","88,85","63,23","15,86",0,Ceará
Abril de 2016,"4,94","95,06","77,98","53,14","15,83",0,Ceará
Março de 2016,"13,91","86,09","69,21","52,78","15,83",0,Ceará
Fevereiro de 2016,"9,62","90,38","85,82","68,13","55,87",0,Ceará
Janeiro de 2016,"9,62","90,38","85,82","68,13","50,37",0,Ceará
Dezembro de 2015,0,100,100,"88,98","78,7","53,8",Ceará
Novembro de 2015,0,100,100,"79,16","70,2","36,51",Ceará
Outubro de 2015,0,100,"88,6","79,16","70,2","36,71",Ceará
Setembro de 2015,0,100,"80,26","72,65","62,82","34,94",Ceará
Agosto de 2015,4,96,"80,26","72,65","62,82","24,81",Ceará
Julho de 2015,"13,65","86,35","74,81",72,"64,66","18,43",Ceará
Junho de 2015,"1,96","98,04","87,28","80,26","51,87","16,39",Ceará
Maio de 2015,"2,08","97,92","84,5","75,42","45,21","4,53",Ceará
Abril de 2015,"2,52","97,48","88,09","81,27","46,41","6,65",Ceará
Março de 2015,0,100,"99,4","75,88","52,48","4,59",Ceará
Fevereiro de 2015,0,100,100,"86,82","65,69","17,76",Ceará
Janeiro de 2015,0,100,100,100,"96,7","6,61",Ceará
Dezembro de 2014,"0,05","99,95","99,86","96,6","75,63","22,76",Ceará
Novembro de 2014,"0,05","99,95","99,86","96,6","75,63","22,76",Ceará
Outubro de 2014,0,100,"97,12","79,1","67,6","22,7",Ceará
Setembro de 2014,0,100,"97,12","79,38","64,64","22,7",Ceará
Agosto de 2014,"1,34","98,66","83,65","49,15","26,13","10,57",Ceará
Julho de 2014,"1,34","98,66",85,"49,37","26,58","11,14",Ceará
Junho de 2025,"52,67","47,33",0,0,0,0,Espírito Santo
Maio de 2025,"52,67","47,33",0,0,0,0,Espírito Santo
Abril de 2025,"9,71","90,29",0,0,0,0,Espírito Santo
Março de 2025,0,100,0,0,0,0,Espírito Santo
Fevereiro de 2025,0,100,0,0,0,0,Espírito Santo
Janeiro de 2025,"68,58","31,42",0,0,0,0,Espírito Santo
Dezembro de 2024,0,100,0,0,0,0,Espírito Santo
Novembro de 2024,0,100,"32,09",0,0,0,Espírito Santo
Outubro de 2024,0,100,"49,84",0,0,0,Espírito Santo
Setembro de 2024,0,100,100,0,0,0,Espírito Santo
Agosto de 2024,0,100,"91,48",0,0,0,Espírito Santo
Julho de 2024,0,100,"67,89",0,0,0,Espírito Santo
Junho de 2024,0,100,0,0,0,0,Espírito Santo
Maio de 2024,"37,21","62,79",0,0,0,0,Espírito Santo
Abril de 2024,"37,21","62,79",0,0,0,0,Espírito Santo
Março de 2024,"37,21","62,79",0,0,0,0,Espírito Santo
Fevereiro de 2024,"0,03","99,97",0,0,0,0,Espírito Santo
Janeiro de 2024,0,100,"40,77",0,0,0,Espírito Santo
Dezembro de 2023,0,100,"40,72",0,0,0,Espírito Santo
Novembro de 2023,0,100,"32,85",0,0,0,Espírito Santo
Outubro de 2023,"95,88","4,12",0,0,0,0,Espírito Santo
Setembro de 2023,"95,88","4,12",0,0,0,0,Espírito Santo
Agosto de 2023,"78,4","21,6",0,0,0,0,Espírito Santo
Julho de 2023,"17,3","82,7",0,0,0,0,Espírito Santo
Junho de 2023,"17,3","82,7",0,0,0,0,Espírito Santo
Maio de 2023,"17,3","82,7",0,0,0,0,Espírito Santo
Abril de 2023,"61,16","38,84",0,0,0,0,Espírito Santo
Março de 2023,"61,16","38,84",0,0,0,0,Espírito Santo
Fevereiro de 2023,100,0,0,0,0,0,Espírito Santo
Janeiro de 2023,100,0,0,0,0,0,Espírito Santo
Dezembro de 2022,"45,3","54,7",0,0,0,0,Espírito Santo
Novembro de 2022,0,100,"50,19",0,0,0,Espírito Santo
Outubro de 2022,0,100,"81,16",0,0,0,Espírito Santo
Setembro de 2022,0,100,"81,17",0,0,0,Espírito Santo
Agosto de 2022,0,100,"64,43",0,0,0,Espírito Santo
Julho de 2022,0,100,"38,79",0,0,0,Espírito Santo
Junho de 2022,0,100,0,0,0,0,Espírito Santo
Maio de 2022,"59,36","40,64",0,0,0,0,Espírito Santo
Abril de 2022,"72,52","27,48",0,0,0,0,Espírito Santo
Março de 2022,100,0,0,0,0,0,Espírito Santo
Fevereiro de 2022,100,0,0,0,0,0,Espírito Santo
Janeiro de 2022,100,0,0,0,0,0,Espírito Santo
Dezembro de 2021,"74,15","25,85",0,0,0,0,Espírito Santo
Novembro de 2021,"39,55","60,45","44,39",0,0,0,Espírito Santo
Outubro de 2021,"12,35","87,65","51,28",0,0,0,Espírito Santo
Setembro de 2021,"2,24","97,76","87,68",0,0,0,Espírito Santo
Agosto de 2021,"1,93","98,07","48,95",0,0,0,Espírito Santo
Julho de 2021,"1,93","98,07","46,21",0,0,0,Espírito Santo
Junho de 2021,"14,81","85,19",0,0,0,0,Espírito Santo
Maio de 2021,"66,07","33,93",0,0,0,0,Espírito Santo
Abril de 2021,100,0,0,0,0,0,Espírito Santo
Março de 2021,"98,01","1,99",0,0,0,0,Espírito Santo
Fevereiro de 2021,"79,85","20,15",0,0,0,0,Espírito Santo
Janeiro de 2021,0,100,"20,07",0,0,0,Espírito Santo
Dezembro de 2020,"2,66","97,34",0,0,0,0,Espírito Santo
Novembro de 2020,"36,06","63,94",0,0,0,0,Espírito Santo
Outubro de 2020,"75,53","24,47",0,0,0,0,Espírito Santo
Setembro de 2020,"47,71","52,29",0,0,0,0,Espírito Santo
Agosto de 2020,"53,14","46,86",0,0,0,0,Espírito Santo
Julho de 2020,"41,06","58,94",0,0,0,0,Espírito Santo
Junho de 2020,"74,36","25,64",0,0,0,0,Espírito Santo
Maio de 2020,"79,17","20,83",0,0,0,0,Espírito Santo
Abril de 2020,100,0,0,0,0,0,Espírito Santo
Março de 2020,100,0,0,0,0,0,Espírito Santo
Fevereiro de 2020,"91,72","8,28",0,0,0,0,Espírito Santo
Janeiro de 2020,"75,88","24,12",0,0,0,0,Espírito Santo
Dezembro 2019,"24,87","75,13","52,64","9,52",0,0,Espírito Santo
Novembro de 2019,"17,64","82,36","43,43","12,91",0,0,Espírito Santo
Outubro de 2019,"10,12","89,88","43,05","13,64",0,0,Espírito Santo
Setembro de 2019,"16,41","83,59","24,73",0,0,0,Espírito Santo
Agosto de 2019,"23,01","76,99","19,3",0,0,0,Espírito Santo
Julho de 2019,"35,94","64,06","13,08",0,0,0,Espírito Santo
Junho de 2019,"35,94","64,06",0,0,0,0,Espírito Santo
Maio de 2019,"44,93","55,07",0,0,0,0,Espírito Santo
Abril de 2019,0,100,0,0,0,0,Espírito Santo
Junho de 2025,"24,22","75,78","42,98",0,0,0,Goiás
Maio de 2025,"3,58","96,42","61,22",0,0,0,Goiás
Abril de 2025,"3,58","96,42","69,38",0,0,0,Goiás
Março de 2025,"3,58","96,42","74,98",0,0,0,Goiás
Fevereiro de 2025,0,100,"31,99",0,0,0,Goiás
Janeiro de 2025,0,100,"28,43",0,0,0,Goiás
Dezembro de 2024,0,100,"75,41","1,45",0,0,Goiás
Novembro de 2024,0,100,"96,08","27,41",0,0,Goiás
Outubro de 2024,0,100,100,"46,59",0,0,Goiás
Setembro de 2024,0,100,100,100,"48,77",0,Goiás
Agosto de 2024,0,100,"88,81","58,08",0,0,Goiás
Julho de 2024,0,100,"88,68","19,08",0,0,Goiás
Junho de 2024,"5,4","94,6","77,21","0,28",0,0,Goiás
Maio de 2024,"5,4","94,6","68,45","0,28",0,0,Goiás
Abril de 2024,"12,53","87,47","68,45","0,28",0,0,Goiás
Março de 2024,"11,02","88,98","69,75","0,28",0,0,Goiás
Fevereiro de 2024,"11,02","88,98","78,11","7,05",0,0,Goiás
Janeiro de 2024,"0,13","99,87","78,19","8,87",0,0,Goiás
Dezembro de 2023,"0,13","99,87","79,19","1,76",0,0,Goiás
Novembro de 2023,"2,38","97,62","15,7",0,0,0,Goiás
Outubro de 2023,"37,04","62,96","16,1",0,0,0,Goiás
Setembro de 2023,"20,86","79,14","34,03","3,94",0,0,Goiás
Agosto de 2023,"20,57","79,43","47,69","3,94",0,0,Goiás
Julho de 2023,"8,36","91,64","47,77","20,26",0,0,Goiás
Junho de 2023,"12,7","87,3","45,76","23,49",0,0,Goiás
Maio de 2023,"13,19","86,81","46,21","23,49",0,0,Goiás
Abril de 2023,"13,19","86,81","46,2","23,48",0,0,Goiás
Março de 2023,"24,21","75,79","40,66","23,47",0,0,Goiás
Fevereiro de 2023,"33,41","66,59","40,65","26,61",0,0,Goiás
Janeiro de 2023,"39,56","60,44","40,77","29,96",0,0,Goiás
Dezembro de 2022,"28,39","71,61","58,64","32,63","2,23",0,Goiás
Novembro de 2022,"11,55","88,45","71,51","32,84","2,74",0,Goiás
Outubro de 2022,0,100,"79,5","32,86","2,74",0,Goiás
Setembro de 2022,0,100,"79,5","36,22","3,24","0,2",Goiás
Agosto de 2022,0,100,86,"36,39","12,99","0,2",Goiás
Julho de 2022,0,100,"68,35","36,39","13,01","0,21",Goiás
Junho de 2022,"0,11","99,89","68,36","36,38","13,01","0,21",Goiás
Maio de 2022,"4,08","95,92","60,49","36,38","13,01","0,21",Goiás
Abril de 2022,"11,35","88,65","52,79","36,38","13,01","0,21",Goiás
Março de 2022,"33,62","66,38","52,79","36,38","13,01","0,21",Goiás
Fevereiro de 2022,"36,49","63,51","52,79","36,38","13,01","0,2",Goiás
Janeiro de 2022,"28,32","71,68","62,15","49,28","14,18","0,27",Goiás
Dezembro de 2021,"19,44","80,56","66,32","49,69","14,31","0,27",Goiás
Novembro de 2021,0,100,"69,77","61,05","24,86","0,27",Goiás
Outubro de 2021,0,100,"78,08","61,06","24,86","0,27",Goiás
Setembro de 2021,0,100,"83,92","62,01","29,2","0,27",Goiás
Agosto de 2021,"1,82","98,18","83,34","62,01","18,74",0,Goiás
Julho de 2021,"1,82","98,18","80,75","62,01","9,78",0,Goiás
Junho de 2021,"1,82","98,18","76,12","40,54","9,74",0,Goiás
Maio de 2021,"1,8","98,2","75,77","40,55","7,74",0,Goiás
Abril de 2021,"2,89","97,11","73,53","37,69","7,73",0,Goiás
Março de 2021,"3,36","96,64","73,52","33,91","7,74",0,Goiás
Fevereiro de 2021,"3,36","96,64","77,38","34,07","6,41",0,Goiás
Janeiro de 2021,0,100,"96,62","61,5","6,41",0,Goiás
Dezembro de 2020,"2,28","97,72","89,19","53,79","6,51",0,Goiás
Novembro de 2020,"2,94","97,06","76,93","53,11","6,43",0,Goiás
Outubro de 2020,"5,64","94,36","76,93","49,41","0,07",0,Goiás
Setembro de 2020,0,100,"78,45","49,41","0,04",0,Goiás
Agosto de 2020,"2,29","97,71","72,84","40,43","0,04",0,Goiás
Julho de 2020,"6,64","93,36","70,27","25,03","0,05",0,Goiás
Junho de 2020,"6,64","93,36","76,93","22,82",0,0,Goiás
Junho de 2025,"15,06","84,94","69,46","27,59",0,0,Maranhão
Maio de 2025,"24,01","75,99","57,15","27,59",0,0,Maranhão
Abril de 2025,"24,22","75,78","57,16","20,12",0,0,Maranhão
Março de 2025,"24,27","75,73","47,81","4,45",0,0,Maranhão
Fevereiro de 2025,"10,18","89,82","67,64","6,46",0,0,Maranhão
Janeiro de 2025,0,100,"75,35","12,28",0,0,Maranhão
Dezembro de 2024,0,100,"98,05","29,13",0,0,Maranhão
Novembro de 2024,0,100,"98,07","14,84",0,0,Maranhão
Outubro de 2024,0,100,"90,84","3,3",0,0,Maranhão
Setembro de 2024,0,100,"61,44","3,3",0,0,Maranhão
Agosto de 2024,"1,66","98,34","12,42",0,0,0,Maranhão
Julho de 2024,"26,74","73,26","5,77",0,0,0,Maranhão
Junho de 2024,"68,88","31,12","5,71",0,0,0,Maranhão
Maio de 2024,"82,13","17,87","5,71",0,0,0,Maranhão
Abril de 2024,"82,28","17,72","5,71",0,0,0,Maranhão
Março de 2024,"52,19","47,81","5,71",0,0,0,Maranhão
Fevereiro de 2024,"8,26","91,74","34,08","13,1",0,0,Maranhão
Janeiro de 2024,"2,46","97,54","61,38","13,1",0,0,Maranhão
Dezembro de 2023,"2,54","97,46","67,2","1,02",0,0,Maranhão
Novembro de 2023,"2,54","97,46","71,65",0,0,0,Maranhão
Outubro de 2023,"4,22","95,78",54,0,0,0,Maranhão
Setembro de 2023,"6,43","93,57","4,52",0,0,0,Maranhão
Agosto de 2023,"46,49","53,51","1,51",0,0,0,Maranhão
Julho de 2023,"60,04","39,96","1,51",0,0,0,Maranhão
Junho de 2023,60,40,"1,51",0,0,0,Maranhão
Maio de 2023,"83,76","16,24","1,51",0,0,0,Maranhão
Abril de 2023,"83,77","16,23","1,51",0,0,0,Maranhão
Março de 2023,"86,29","13,71",0,0,0,0,Maranhão
Fevereiro de 2023,"90,34","9,66",0,0,0,0,Maranhão
Janeiro de 2023,100,0,0,0,0,0,Maranhão
Dezembro de 2022,100,0,0,0,0,0,Maranhão
Novembro de 2022,"87,79","12,21",0,0,0,0,Maranhão
Outubro de 2022,"65,56","34,44","0,01",0,0,0,Maranhão
Setembro de 2022,"58,45","41,55","0,01",0,0,0,Maranhão
Agosto de 2022,"75,47","24,53","0,01",0,0,0,Maranhão
Julho de 2022,"89,19","10,81",0,0,0,0,Maranhão
Junho de 2022,"94,01","5,99",0,0,0,0,Maranhão
Maio de 2022,"93,47","6,53",0,0,0,0,Maranhão
Abril de 2022,"93,47","6,53",0,0,0,0,Maranhão
Março de 2022,"95,38","4,62",0,0,0,0,Maranhão
Fevereiro de 2022,"89,42","10,58",0,0,0,0,Maranhão
Janeiro de 2022,100,0,0,0,0,0,Maranhão
Dezembro de 2021,"89,35","10,65",0,0,0,0,Maranhão
Novembro de 2021,"44,57","55,43","13,76",0,0,0,Maranhão
Outubro de 2021,"33,79","66,21","36,37",0,0,0,Maranhão
Setembro de 2021,"33,79","66,21","36,37",0,0,0,Maranhão
Agosto de 2021,"30,17","69,83","41,22",0,0,0,Maranhão
Julho de 2021,"29,41","70,59","37,3",0,0,0,Maranhão
Junho de 2021,"28,06","71,94","29,43",0,0,0,Maranhão
Maio de 2021,"27,69","72,31","17,86",0,0,0,Maranhão
Abril de 2021,"36,21","63,79","17,85",0,0,0,Maranhão
Março de 2021,"41,79","58,21","16,21",0,0,0,Maranhão
Fevereiro de 2021,"38,05","61,95","18,2",0,0,0,Maranhão
Janeiro de 2021,"25,91","74,09","18,24",0,0,0,Maranhão
Dezembro de 2020,"22,21","77,79","27,62",0,0,0,Maranhão
Novembro de 2020,"16,88","83,12","28,62","4,17",0,0,Maranhão
Outubro de 2020,"3,7","96,3","34,6","4,17",0,0,Maranhão
Setembro de 2020,"4,82","95,18","23,77",0,0,0,Maranhão
Agosto de 2020,"12,32","87,68","0,11",0,0,0,Maranhão
Julho de 2020,"46,35","53,65",0,0,0,0,Maranhão
Junho de 2020,"70,8","29,2",0,0,0,0,Maranhão
Maio de 2020,"79,63","20,37",0,0,0,0,Maranhão
Abril de 2020,"76,91","23,09","4,74",0,0,0,Maranhão
Março de 2020,"65,06","34,94","0,44",0,0,0,Maranhão
Fevereiro de 2020,"52,73","47,27","22,42",0,0,0,Maranhão
Janeiro de 2020,"41,39","58,61","26,72","0,05",0,0,Maranhão
Dezembro 2019,"26,52","73,48","26,72","2,7",0,0,Maranhão
Novembro de 2019,"23,58","76,42","26,72","2,69",0,0,Maranhão
Outubro de 2019,"30,48","69,52","10,34",0,0,0,Maranhão
Setembro de 2019,"50,84","49,16",0,0,0,0,Maranhão
Agosto de 2019,"65,35","34,65",0,0,0,0,Maranhão
Julho de 2019,"91,64","8,36",0,0,0,0,Maranhão
Junho de 2019,"91,64","8,36",0,0,0,0,Maranhão
Maio de 2019,"96,66","3,34",0,0,0,0,Maranhão
Abril de 2019,"92,35","7,65",0,0,0,0,Maranhão
Março de 2019,"67,48","32,52","18,29",0,0,0,Maranhão
Fevereiro de 2019,"49,66","50,34","22,65",0,0,0,Maranhão
Janeiro de 2019,"51,81","48,19","22,65","4,47",0,0,Maranhão
Dezembro de 2018,"40,86","59,14",32,"8,52",0,0,Maranhão
Novembro de 2018,"16,07","83,93","38,55","8,52",0,0,Maranhão
Outubro de 2018,"14,36","85,64","38,55","8,52",0,0,Maranhão
Setembro de 2018 ,"14,36","85,64","49,94","22,34",0,0,Maranhão
Agosto de 2018,"39,73","60,27","43,29","4,17",0,0,Maranhão
Julho de 2018,"39,73","60,27","33,76","4,17",0,0,Maranhão
Junho de 2018,"52,42","47,58","16,66",0,0,0,Maranhão
Maio de 2018,"81,35","18,65","6,35",0,0,0,Maranhão
Abril de 2018,"81,36","18,64","6,35",0,0,0,Maranhão
Março de 2018,"46,74","53,26","16,65","0,72",0,0,Maranhão
Fevereiro de 2018,"20,81","79,19","46,89","15,45",0,0,Maranhão
Janeiro de 2018,0,100,"81,45","55,13","10,52",0,Maranhão
Dezembro de 2017,0,100,100,"81,92","37,41",0,Maranhão
Novembro de 2017,0,100,100,"72,39","8,76",0,Maranhão
Outubro de 2017,0,100,"96,72","34,81","13,68",0,Maranhão
Setembro de 2017,"0,04","99,96","88,59","16,62","1,84",0,Maranhão
Agosto de 2017,"9,24","90,76","17,65","1,87",0,0,Maranhão
Julho de 2017,"56,19","43,81","2,93",0,0,0,Maranhão
Junho de 2017,"56,19","43,81","2,93",0,0,0,Maranhão
Maio de 2017,"91,5","8,5","2,13",0,0,0,Maranhão
Abril de 2017,"77,63","22,37","0,78",0,0,0,Maranhão
Março de 2017,"26,15","73,85","13,1","5,05","0,21",0,Maranhão
Fevereiro de 2017,0,100,"69,42","8,42","0,21",0,Maranhão
Janeiro de 2017,0,100,100,"78,61","39,28","1,99",Maranhão
Dezembro de 2016,0,100,100,100,"81,4","38,63",Maranhão
Novembro de 2016,0,100,100,100,"90,03","27,86",Maranhão
Outubro de 2016,0,100,100,100,"80,98","12,09",Maranhão
Setembro de 2016,0,100,100,"99,28","60,89",0,Maranhão
Agosto de 2016,0,100,100,"87,42","56,82",0,Maranhão
Julho de 2016,0,100,100,"79,96","23,33",0,Maranhão
Junho de 2016,0,100,"90,54","75,46","14,85",0,Maranhão
Maio de 2016,"0,05","99,95","89,04","73,83",0,0,Maranhão
Abril de 2016,"0,06","99,94","76,39","52,59",0,0,Maranhão
Março de 2016,"0,06","99,94","85,63","39,26",0,0,Maranhão
Fevereiro de 2016,0,100,100,"79,08","38,97",0,Maranhão
Janeiro de 2016,0,100,100,"71,52","19,51",0,Maranhão
Dezembro de 2015,0,100,100,100,"49,74","2,52",Maranhão
Novembro de 2015,0,100,100,"76,54","29,6",0,Maranhão
Outubro de 2015,"0,05","99,95","97,53","63,06","19,44",0,Maranhão
Setembro de 2015,"0,05","99,95","95,47","49,7","0,17",0,Maranhão
Agosto de 2015,"0,05","99,95","99,45","29,64",0,0,Maranhão
Julho de 2015,"0,05","99,95","90,48","12,5",0,0,Maranhão
Junho de 2015,"0,05","99,95","87,56","10,4",0,0,Maranhão
Maio de 2015,"0,05","99,95","95,47","1,12",0,0,Maranhão
Abril de 2015,0,100,"82,4","53,06",0,0,Maranhão
Março de 2015,"0,02","99,98","92,64","28,37","0,03",0,Maranhão
Fevereiro de 2015,"0,26","99,74","87,35","27,18","17,41",0,Maranhão
Janeiro de 2015,"0,03","99,97","87,19","39,51","18,77",0,Maranhão
Dezembro de 2014,"0,02","99,98","48,91","10,03",0,0,Maranhão
Novembro de 2014,"33,33","66,67","48,91","21,9",0,"0,13",Maranhão
Outubro de 2014,"35,93","64,07","37,33","14,37",0,0,Maranhão
Setembro de 2014,"43,69","56,31","30,49",0,0,0,Maranhão
Agosto de 2014,"56,9","43,1","17,72",0,0,0,Maranhão
Julho de 2014,"56,9","43,1","17,6",0,0,0,Maranhão
Junho de 2025,100,0,0,0,0,0,Mato Grosso
Maio de 2025,"79,61","20,39",0,0,0,0,Mato Grosso
Abril de 2025,"71,08","28,92","14,56",0,0,0,Mato Grosso
Março de 2025,"26,11","73,89","24,86",0,0,0,Mato Grosso
Fevereiro de 2025,"17,63","82,37","16,89",0,0,0,Mato Grosso
Janeiro de 2025,0,100,"72,91","6,6",0,0,Mato Grosso
Dezembro de 2024,0,100,"83,17","37,96",0,0,Mato Grosso
Novembro de 2024,0,100,"88,2","58,41",0,0,Mato Grosso
Outubro de 2024,0,100,100,"59,66",0,0,Mato Grosso
Setembro de 2024,0,100,100,"67,9","4,16",0,Mato Grosso
Agosto de 2024,0,100,99,"60,55",0,0,Mato Grosso
Julho de 2024,0,100,"73,07","32,78",0,0,Mato Grosso
Junho de 2024,"16,09","83,91","69,19","29,68",0,0,Mato Grosso
Maio de 2024,"16,09","83,91","69,08","26,99","3,34",0,Mato Grosso
Abril de 2024,"16,09","83,91","70,97","29,07","3,34",0,Mato Grosso
Março de 2024,"0,84","99,16","83,17","36,03","6,55",0,Mato Grosso
Fevereiro de 2024,"0,84","99,16","82,4","29,77","5,49",0,Mato Grosso
Janeiro de 2024,"0,84","99,16","87,55","27,79","6,11","1,86",Mato Grosso
Dezembro de 2023,"0,84","99,16","94,76","27,79","6,11","1,86",Mato Grosso
Novembro de 2023,"0,84","99,16","53,42","13,79","2,84",0,Mato Grosso
Outubro de 2023,"11,1","88,9","51,91","13,79","2,84",0,Mato Grosso
Setembro de 2023,"16,17","83,83","39,28","16,71","1,71",0,Mato Grosso
Agosto de 2023,"14,26","85,74","41,86","18,03","1,71",0,Mato Grosso
Julho de 2023,"14,15","85,85","41,09",18,"1,71",0,Mato Grosso
Junho de 2023,"32,34","67,66","40,86","14,27",0,0,Mato Grosso
Maio de 2023,"30,07","69,93","40,86","14,27",0,0,Mato Grosso
Abril de 2023,"33,66","66,34","43,15","14,7",0,0,Mato Grosso
Março de 2023,"33,36","66,64","41,09","12,54",0,0,Mato Grosso
Fevereiro de 2023,"29,32","70,68","42,84","11,76",0,0,Mato Grosso
Janeiro de 2023,"29,4","70,6","43,26","11,93",0,0,Mato Grosso
Dezembro de 2022,"20,14","79,86","46,1","4,09","0,64",0,Mato Grosso
Novembro de 2022,"7,56","92,44","48,41","4,09","0,64",0,Mato Grosso
Outubro de 2022,"2,55","97,45","40,35","4,09","0,64",0,Mato Grosso
Setembro de 2022,"2,41","97,59","34,38","6,06","0,7",0,Mato Grosso
Agosto de 2022,"1,94","98,06","32,18","7,64","1,64",0,Mato Grosso
Julho de 2022,"4,06","95,94","29,94","10,01","2,61",0,Mato Grosso
Junho de 2022,"10,46","89,54","26,66","10,01","2,61",0,Mato Grosso
Maio de 2022,"21,21","78,79","23,28","10,01","2,61",0,Mato Grosso
Abril de 2022,"32,17","67,83","23,28","8,08","2,61",0,Mato Grosso
Março de 2022,"44,67","55,33","23,28","8,08","2,61",0,Mato Grosso
Fevereiro de 2022,"64,29","35,71","25,34","11,88","2,61",0,Mato Grosso
Janeiro de 2022,"59,59","40,41","26,67","14,68","5,4",0,Mato Grosso
Dezembro de 2021,"48,73","51,27","29,2","15,12","5,4",0,Mato Grosso
Novembro de 2021,"25,09","74,91","34,72","15,11","6,25",0,Mato Grosso
Outubro de 2021,"17,02","82,98","43,2","15,11","6,25",0,Mato Grosso
Setembro de 2021,"17,02","82,98","39,76","15,1","6,25",0,Mato Grosso
Agosto de 2021,0,100,"41,18","14,8","4,06",0,Mato Grosso
Julho de 2021,0,100,"27,48","14,8","4,06",0,Mato Grosso
Junho de 2021,"11,95","88,05","24,54","13,42","4,06",0,Mato Grosso
Junho de 2025,"50,12","49,88",0,0,0,0,Mato Grosso do Sul
Maio de 2025,"27,58","72,42","9,16",0,0,0,Mato Grosso do Sul
Abril de 2025,0,100,"40,36",0,0,0,Mato Grosso do Sul
Março de 2025,0,100,100,"26,29",0,0,Mato Grosso do Sul
Fevereiro de 2025,0,100,100,"28,61",0,0,Mato Grosso do Sul
Janeiro de 2025,0,100,100,"21,69",0,0,Mato Grosso do Sul
Dezembro de 2024,0,100,100,"41,73",0,0,Mato Grosso do Sul
Novembro de 2024,0,100,100,"66,85",0,0,Mato Grosso do Sul
Outubro de 2024,0,100,100,"55,99",0,0,Mato Grosso do Sul
Setembro de 2024,0,100,"94,92","52,65","0,59",0,Mato Grosso do Sul
Agosto de 2024,0,100,"94,92","48,6",0,0,Mato Grosso do Sul
Julho de 2024,0,100,"63,81","33,5",0,0,Mato Grosso do Sul
Junho de 2024,"15,3","84,7","53,28","11,45",0,0,Mato Grosso do Sul
Maio de 2024,"15,3","84,7","31,68","0,16",0,0,Mato Grosso do Sul
Abril de 2024,"21,18","78,82","31,68","0,16",0,0,Mato Grosso do Sul
Março de 2024,"17,86","82,14","27,69","0,16",0,0,Mato Grosso do Sul
Fevereiro de 2024,"32,16","67,84","19,91","0,16",0,0,Mato Grosso do Sul
Janeiro de 2024,"25,09","74,91","17,6","0,16",0,0,Mato Grosso do Sul
Dezembro de 2023,"25,09","74,91","9,34","0,17",0,0,Mato Grosso do Sul
Novembro de 2023,"46,29","53,71","9,34","0,19",0,0,Mato Grosso do Sul
Outubro de 2023,"58,13","41,87","1,71","0,19",0,0,Mato Grosso do Sul
