,Ano,Mes,Value
403,2006,8,1.0698681818181817
404,2006,9,1.0656666666666668
405,2006,10,1.0687045454545456
406,2006,11,1.138325
407,2006,12,1.186525
408,2007,1,1.181
409,2007,2,1.1608631578947368
410,2007,3,1.1388333333333334
411,2007,4,1.1199894736842106
412,2007,5,1.1456739130434783
413,2007,6,1.1486333333333332
414,2007,7,1.146
415,2007,8,1.1645478260869566
416,2007,9,1.2334761904761904
417,2007,10,1.2247380952380953
418,2007,11,1.2240449999999998
419,2007,12,1.2721190476190476
420,2008,1,1.34255
421,2008,2,1.480485
422,2008,3,1.351904761904762
423,2008,4,1.3427681818181818
424,2008,5,1.3532142857142857
425,2008,6,1.3958894736842107
426,2008,7,1.3620217391304348
427,2008,8,1.3667636363636364
428,2008,9,1.3267
429,2008,10,1.194
430,2008,11,1.2237857142857143
431,2008,12,1.1957499999999999
432,2009,1,1.211675
433,2009,2,1.17879
434,2009,3,1.1965
435,2009,4,1.1983227272727273
436,2009,5,1.296025
437,2009,6,1.206852380952381
438,2009,7,1.232159090909091
439,2009,8,1.2490238095238095
440,2009,9,1.2933913043478262
441,2009,10,1.3426818181818183
442,2009,11,1.3283263157894736
443,2009,12,1.3564761904761906
444,2010,1,1.4931904761904762
445,2010,2,1.4786882352941175
446,2010,3,1.451142857142857
447,2010,4,1.3934636363636363
448,2010,5,1.4158
449,2010,6,1.6075050000000002
450,2010,7,1.6369545454545453
451,2010,8,1.700017391304348
452,2010,9,1.775130434782609
453,2010,10,1.8348809523809524
454,2010,11,1.8403315789473682
455,2010,12,2.0066956521739128
456,2011,1,2.4445714285714284
457,2011,2,2.6287666666666665
458,2011,3,2.6437380952380956
459,2011,4,2.745235
460,2011,5,2.5980000000000003
461,2011,6,2.560840909090909
462,2011,7,2.495021739130435
463,2011,8,2.647581818181818
464,2011,9,2.517068181818182
465,2011,10,2.4186666666666667
466,2011,11,2.4068285714285715
467,2011,12,2.327
468,2012,1,2.062657894736842
469,2012,2,1.9559349999999998
470,2012,3,1.8373863636363637
471,2012,4,1.7635526315789474
472,2012,5,1.7294545454545456
473,2012,6,1.6568954545454546
474,2012,7,1.7759285714285713
475,2012,8,1.6691545454545456
476,2012,9,1.7779761904761904
477,2012,10,1.6889545454545456
478,2012,11,1.5828095238095237
479,2012,12,1.581738095238095
480,2013,1,1.418642857142857
481,2013,2,1.3555333333333333
482,2013,3,1.3274000000000001
