ano_agricola,safra,uf,produto,id_produto,id_levantamento,dsc_levantamento,area_plantada_mil_ha,producao_mil_t,produtividade_mil_ha_mil_t
2024/25             ,UNICA          ,RO,GERGELIM                                ,7084,5,5º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RO,GERGELIM                                ,7084,6,6º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RO,GERGELIM                                ,7084,7,7º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RO,GERGELIM                                ,7084,8,8º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RO,GERGELIM                                ,7084,9,9º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RR,GERGELIM                                ,7084,10,10º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,RR,GERGELIM                                ,7084,11,11º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,RR,GERGELIM                                ,7084,12,12º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,RR,GERGELIM                                ,7084,1,1º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RR,GERGELIM                                ,7084,2,2º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RR,GERGELIM                                ,7084,3,3º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RR,GERGELIM                                ,7084,4,4º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RR,GERGELIM                                ,7084,5,5º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RR,GERGELIM                                ,7084,6,6º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RR,GERGELIM                                ,7084,7,7º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RR,GERGELIM                                ,7084,8,8º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RR,GERGELIM                                ,7084,9,9º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RS,GERGELIM                                ,7084,10,10º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,RS,GERGELIM                                ,7084,11,11º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,RS,GERGELIM                                ,7084,12,12º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,RS,GERGELIM                                ,7084,1,1º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RS,GERGELIM                                ,7084,2,2º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RS,GERGELIM                                ,7084,3,3º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RS,GERGELIM                                ,7084,4,4º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RS,GERGELIM                                ,7084,5,5º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RS,GERGELIM                                ,7084,6,6º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RS,GERGELIM                                ,7084,7,7º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RS,GERGELIM                                ,7084,8,8º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,RS,GERGELIM                                ,7084,9,9º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SC,GERGELIM                                ,7084,10,10º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,SC,GERGELIM                                ,7084,11,11º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,SC,GERGELIM                                ,7084,12,12º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,SC,GERGELIM                                ,7084,1,1º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SC,GERGELIM                                ,7084,2,2º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SC,GERGELIM                                ,7084,3,3º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SC,GERGELIM                                ,7084,4,4º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SC,GERGELIM                                ,7084,5,5º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SC,GERGELIM                                ,7084,6,6º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SC,GERGELIM                                ,7084,7,7º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SC,GERGELIM                                ,7084,8,8º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SC,GERGELIM                                ,7084,9,9º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SE,GERGELIM                                ,7084,10,10º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,SE,GERGELIM                                ,7084,11,11º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,SE,GERGELIM                                ,7084,12,12º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,SE,GERGELIM                                ,7084,1,1º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SE,GERGELIM                                ,7084,2,2º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SE,GERGELIM                                ,7084,3,3º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SE,GERGELIM                                ,7084,4,4º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SE,GERGELIM                                ,7084,5,5º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SE,GERGELIM                                ,7084,6,6º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SE,GERGELIM                                ,7084,7,7º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SE,GERGELIM                                ,7084,8,8º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SE,GERGELIM                                ,7084,9,9º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SP,GERGELIM                                ,7084,10,10º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,SP,GERGELIM                                ,7084,11,11º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,SP,GERGELIM                                ,7084,12,12º LEV             ,0.0,0.0,0.0
2024/25             ,UNICA          ,SP,GERGELIM                                ,7084,1,1º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SP,GERGELIM                                ,7084,2,2º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SP,GERGELIM                                ,7084,3,3º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SP,GERGELIM                                ,7084,4,4º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SP,GERGELIM                                ,7084,5,5º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SP,GERGELIM                                ,7084,6,6º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SP,GERGELIM                                ,7084,7,7º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SP,GERGELIM                                ,7084,8,8º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,SP,GERGELIM                                ,7084,9,9º LEV              ,0.0,0.0,0.0
2024/25             ,UNICA          ,TO,GERGELIM                                ,7084,10,10º LEV             ,90.0,49.2,0.5
2024/25             ,UNICA          ,TO,GERGELIM                                ,7084,11,11º LEV             ,90.0,51.4,0.6
2024/25             ,UNICA          ,TO,GERGELIM                                ,7084,12,12º LEV             ,90.0,51.4,0.6
2024/25             ,UNICA          ,TO,GERGELIM                                ,7084,1,1º LEV              ,87.8,48.0,0.5
2024/25             ,UNICA          ,TO,GERGELIM                                ,7084,2,2º LEV              ,87.8,48.0,0.5
2024/25             ,UNICA          ,TO,GERGELIM                                ,7084,3,3º LEV              ,87.8,48.0,0.5
2024/25             ,UNICA          ,TO,GERGELIM                                ,7084,4,4º LEV              ,87.8,48.0,0.5
2024/25             ,UNICA          ,TO,GERGELIM                                ,7084,5,5º LEV              ,87.8,48.0,0.5
2024/25             ,UNICA          ,TO,GERGELIM                                ,7084,6,6º LEV              ,87.8,48.0,0.5
2024/25             ,UNICA          ,TO,GERGELIM                                ,7084,7,7º LEV              ,87.8,48.0,0.5
2024/25             ,UNICA          ,TO,GERGELIM                                ,7084,8,8º LEV              ,88.4,48.4,0.5
2024/25             ,UNICA          ,TO,GERGELIM                                ,7084,9,9º LEV              ,88.4,48.4,0.5
2017/18             ,UNICA          ,DF,GIRASSOL                                ,4738,10,10º LEV             ,1.0,2.0,2.0
