,produto,ano,sh_area_plantada_mil_ha_list,sh_producao_mil_t_list,sh_produtividade_mil_ha_mil_t_list,sh_rotulos_ano_agricola,lev_area_plantada_mil_ha_list,lev_producao_mil_t_list,lev_produtividade_mil_ha_mil_t_list,n_levantamentos,levantamentos_descricoes_lista,lev_rotulos_ano_agricola,od_estoque_inicial_1000t_list,od_producao_1000t_list,od_importacao_1000t_list,od_consumo_1000t_list,od_exportacao_1000t_list,od_estoque_final_1000t_list,od_rotulos_ano_agricola,vlr_custo_variavel_ha_mensal,vlr_custo_variavel_unidade_mensal,vlr_custo_fixo_ha_mensal,vlr_custo_fixo_unidade_mensal,vlr_renda_fator_ha_mensal,vlr_renda_fator_unidade_mensal,valor_produto_kg_mensal,ipca_indice_mensal,dolar_preco_mensal
2302,algodao em pluma,1900,[np.float64(823.1)],[np.float64(700.3)],[np.float64(0.8508079212732352)],1999/00,,,,,,,[np.float64(380.09)],[np.float64(700.3)],[np.float64(299.9)],[np.float64(885.0)],[np.float64(28.5)],[np.float64(466.79)],1999/00,,,,,,,,,
2303,algodao em pluma,1976,[np.float64(4095.9)],[np.float64(586.9)],[np.float64(0.14328963109450912)],1976/77,,,,,,,,,,,,,,,,,,,,,,
2304,algodao em pluma,1977,"[np.float64(4095.9), np.float64(3925.8)]","[np.float64(586.9), np.float64(486.4)]","[np.float64(0.14328963109450912), np.float64(0.12389831371949665)]",1976/77;1977/78,,,,,,,,,,,,,,,,,,,,,,
2305,algodao em pluma,1978,"[np.float64(3925.8), np.float64(3623.6)]","[np.float64(486.4), np.float64(543.6)]","[np.float64(0.12389831371949665), np.float64(0.1500165581189977)]",1977/78;1978/79,,,,,,,,,,,,,,,,,,,,,,
2306,algodao em pluma,1979,"[np.float64(3623.6), np.float64(4070.9)]","[np.float64(543.6), np.float64(577.4)]","[np.float64(0.1500165581189977), np.float64(0.14183595765064236)]",1978/79;1979/80,,,,,,,,,,,,,,,,,,,,,,
2307,algodao em pluma,1980,"[np.float64(4070.9), np.float64(4136.7)]","[np.float64(577.4), np.float64(594.4)]","[np.float64(0.14183595765064236), np.float64(0.14368941426741122)]",1979/80;1980/81,,,,,,,,,,,,,,,,,,,,,,
2308,algodao em pluma,1981,"[np.float64(4136.7), np.float64(3826.6)]","[np.float64(594.4), np.float64(680.5)]","[np.float64(0.14368941426741122), np.float64(0.1778341086081639)]",1980/81;1981/82,,,,,,,,,,,,,,,,,,,,,,
2309,algodao em pluma,1982,"[np.float64(3826.6), np.float64(3624.7)]","[np.float64(680.5), np.float64(586.3)]","[np.float64(0.1778341086081639), np.float64(0.1617513173504014)]",1981/82;1982/83,,,,,,,,,,,,,,,,,,,,,,
2310,algodao em pluma,1983,"[np.float64(3624.7), np.float64(3107.3)]","[np.float64(586.3), np.float64(674.5)]","[np.float64(0.1617513173504014), np.float64(0.21706948154346214)]",1982/83;1983/84,,,,,,,,,,,,,,,,,,,,,,
2311,algodao em pluma,1984,"[np.float64(3107.3), np.float64(3707.0)]","[np.float64(674.5), np.float64(964.8)]","[np.float64(0.21706948154346214), np.float64(0.26026436471540326)]",1983/84;1984/85,,,,,,,,,,,,,,,,,,,,,,
2312,algodao em pluma,1985,"[np.float64(3707.0), np.float64(3325.3)]","[np.float64(964.8), np.float64(793.4000000000001)]","[np.float64(0.26026436471540326), np.float64(0.23859501398370073)]",1984/85;1985/86,,,,,,,,,,,,,,,,,,,,,,
2313,algodao em pluma,1986,"[np.float64(3325.3), np.float64(2161.0)]","[np.float64(793.4000000000001), np.float64(633.4)]","[np.float64(0.23859501398370073), np.float64(0.2931050439611291)]",1985/86;1986/87,,,,,,,,,,,,,,,,,,,,,,
2314,algodao em pluma,1987,"[np.float64(2161.0), np.float64(2576.1)]","[np.float64(633.4), np.float64(863.6)]","[np.float64(0.2931050439611291), np.float64(0.3352354334070883)]",1986/87;1987/88,,,,,,,,,,,,,,,,,,,,,,
2315,algodao em pluma,1988,"[np.float64(2576.1), np.float64(2229.6)]","[np.float64(863.6), np.float64(709.0)]","[np.float64(0.3352354334070883), np.float64(0.31799425905992107)]",1987/88;1988/89,,,,,,,,,,,,,,,,,,,,,,
2316,algodao em pluma,1989,"[np.float64(2229.6), np.float64(1963.8)]","[np.float64(709.0), np.float64(665.8)]","[np.float64(0.31799425905992107), np.float64(0.3390365617680008)]",1988/89;1989/90,,,,,,,,,,,,,,,,,,,,,,
2317,algodao em pluma,1990,"[np.float64(1963.8), np.float64(1938.8)]","[np.float64(665.8), np.float64(716.8)]","[np.float64(0.3390365617680008), np.float64(0.36971322467505674)]",1989/90;1990/91,,,,,,,,,,,,,,,,,,,,,,
2318,algodao em pluma,1991,"[np.float64(1938.8), np.float64(1976.3)]","[np.float64(716.8), np.float64(668.0)]","[np.float64(0.36971322467505674), np.float64(0.33800536355816424)]",1990/91;1991/92,,,,,,,,,,,,,,,,,,,,,,
2319,algodao em pluma,1992,"[np.float64(1976.3), np.float64(1276.1)]","[np.float64(668.0), np.float64(420.3)]","[np.float64(0.33800536355816424), np.float64(0.32936290259384066)]",1991/92;1992/93,,,,,,,,,,,,,,,,,,,,,,
2320,algodao em pluma,1993,"[np.float64(1276.1), np.float64(1237.8)]","[np.float64(420.3), np.float64(483.9)]","[np.float64(0.32936290259384066), np.float64(0.3909355307804169)]",1992/93;1993/94,,,,,,,,,,,,,,,,,,,,,,
2321,algodao em pluma,1994,"[np.float64(1237.8), np.float64(1228.5)]","[np.float64(483.9), np.float64(537.1)]","[np.float64(0.3909355307804169), np.float64(0.43719983719983724)]",1993/94;1994/95,,,,,,,,,,,,,,,,,,,,,"[141.31, 198.22, 282.96, 403.73, 581.49, 857.29, 915.93, 932.97, 947.24, 972.06, 999.37, 1016.46]",
2322,algodao em pluma,1995,"[np.float64(1228.5), np.float64(952.5)]","[np.float64(537.1), np.float64(410.0)]","[np.float64(0.43719983719983724), np.float64(0.4304461942257218)]",1994/95;1995/96,,,,,,,,,,,,,,,,,,,,,"[1033.74, 1044.28, 1060.47, 1086.24, 1115.24, 1140.44, 1167.35, 1178.91, 1190.58, 1207.37, 1225.12, 1244.23]",
2323,algodao em pluma,1996,"[np.float64(952.5), np.float64(657.5)]","[np.float64(410.0), np.float64(305.8)]","[np.float64(0.4304461942257218), np.float64(0.46509505703422055)]",1995/96;1996/97,,,,,,,,,,,,,,,,,,,,,"[1260.9, 1273.89, 1278.35, 1294.46, 1310.25, 1325.84, 1340.56, 1346.46, 1348.48, 1352.53, 1356.86, 1363.24]",
2324,algodao em pluma,1997,"[np.float64(657.5), np.float64(879.9)]","[np.float64(305.8), np.float64(411.0)]","[np.float64(0.46509505703422055), np.float64(0.4670985339243096)]",1996/97;1997/98,,,,,,,,,,,,,,,,,,,,,"[1379.33, 1386.23, 1393.3, 1405.56, 1411.32, 1418.94, 1422.06, 1421.78, 1422.63, 1425.9, 1428.32, 1434.46]",
2325,algodao em pluma,1998,"[np.float64(879.9), np.float64(693.9)]","[np.float64(411.0), np.float64(520.1)]","[np.float64(0.4670985339243096), np.float64(0.7495316328001154)]",1997/98;1998/99,,,,,,,,,,,,,,,,,,,,,"[1444.64, 1451.29, 1456.22, 1459.71, 1467.01, 1467.3, 1465.54, 1458.07, 1454.86, 1455.15, 1453.4, 1458.2]",
2326,algodao em pluma,1999,"[np.float64(693.9), np.float64(823.1)]","[np.float64(520.1), np.float64(700.3)]","[np.float64(0.7495316328001154), np.float64(0.8508079212732352)]",1998/99;1999/00,,,,,,,[np.float64(380.09)],[np.float64(700.3)],[np.float64(299.9)],[np.float64(885.0)],[np.float64(28.5)],[np.float64(466.79)],1999/00,,,,,,,,"[1468.41, 1483.83, 1500.15, 1508.55, 1513.08, 1515.95, 1532.47, 1541.05, 1545.83, 1564.23, 1579.09, 1588.56]",
